Group	NMDS
033473_bull1	neg
033474_bull2	pos
033475_bull3	neg
033476_bull4	neg
033477_bull5	neg
033478_bull6	neg
033479_bull7	neg
033480_bull8	pos
033481_bull9	neg
033482_bull10	pos
033483_bull11	pos
033484_bull12	neg
033485_bull14	neg
033486_bull15	neg
033487_bull16	neg
033488_bull17	neg
033489_bull18	pos
033490_bull19	neg
033491_bull20	pos
033492_bull21	neg
033494_bull23	neg
033495_bull24	pos
033496_bull25	neg
033497_bull26	neg
033498_bull27	neg
033499_bull28	neg
033500_bull29	neg
033501_bull30	neg
033502_bull31	pos
033503_bull32	neg
033504_bull33	pos
033505_bull34	neg
033506_bull35	pos
033507_bull37	pos
033508_bull39	pos
033509_bull40	neg
033510_bull44	neg
033511_bull45	neg
033512_bull46	pos
033513_bull49	pos
033514_bull50	pos
033515_bull52	pos
033516_bull55	pos
033517_bull56	pos
033519_bull59	pos
033520_bull60	pos
033521_bull61	neg
033522_bull63	neg
033523_bull64	pos
033524_bull65	neg
033525_bull66	pos
033526_bull68	pos
033527_bull71	pos
033528_bull72	pos
033529_bull73	pos
033530_bull74	pos
033531_bull75	neg
033532_bull76	pos
033533_bull77	pos
033534_bull79	neg
033535_bull80	pos
033536_bull81	pos
033537_bull82	neg
033538_bull83	pos
033539_bull84	pos
033540_bull85	pos
033541_bull86	pos
033542_bull87	pos
033543_bull88	pos
033544_bull89	neg
033545_bull90	neg
033546_bull91	neg
033547_bull92	neg
033548_bull13	neg
033549_bull36	neg
033550_bull38	pos
033551_bull41	neg
033552_bull42	pos
033553_bull43	neg
033644_bull51	neg
033646_bull58	neg
033647_bull62	pos
033648_bull67	pos
033649_bull70	pos
033447_water	
033458_water	
